Rate Schedule - Saatchi & Saatchi (from Parnell),,,,,,,,,,
Base Rates Exc MFV / GST / PPD,,,,,,,,,,
Generated 04 March 2026,,,,,,,,,,
,,,,,,,,,,
Destination,Eco,3 Hour,2 Hour,90 Min,75 Min,1 Hour,45 Min,30 Min,15 Min,Direct
Airport,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Albany,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Avondale,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Balmoral,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Beachhaven,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Birkenhead,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Blockhouse Bay,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Browns Bay,,28.16,33.80,35.92,38.00,42.12,44.40,,88.68,133.08
Castor Bay,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
City,13.06,10.57,11.10,11.62,12.65,13.22,18.74,24.30,35.38,
Devonport,,28.16,33.80,35.92,38.00,42.12,44.40,,88.68,133.08
Drury,,,,59.15,62.86,66.50,73.71,,155.19,
East Tamaki,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Eden Terrace,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Ellerslie,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Epsom,,10.94,12.68,13.47,14.25,15.80,16.65,24.94,33.27,49.89
Freemans Bay,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Glen Innes,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Glenfield,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Greenlane,,10.94,12.68,13.47,14.25,15.80,16.65,24.94,33.27,49.89
Greenlane South,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Grey Lynn,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Henderson,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Herne Bay,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Hillsborough,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Howick,,28.16,33.80,35.92,38.00,42.12,44.40,,88.68,133.08
Kingsland,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Mairangi Bay Ind,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Mangere,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Manukau,,28.16,33.80,35.92,38.00,42.12,44.40,,88.68,133.08
Manurewa,,35.20,42.25,44.90,47.50,52.65,55.50,,110.85,
Massey,,28.16,33.80,35.92,38.00,42.12,44.40,,88.68,133.08
Milford,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Morningside,,14.08,16.90,17.96,19.00,21.06,22.20,33.25,44.36,66.53
Mt Albert,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Mt Eden,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Mt Roskill,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Mt Roskill South,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Mt Wellington,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
New Lynn,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Newmarket,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Newton,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Northcote,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Onehunga,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Otahuhu,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Pakuranga,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Panmure,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Papakura,,42.24,50.70,53.88,57.00,63.18,66.60,,133.02,
Papatoetoe,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Parnell,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Penrose,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Ponsonby,10.94,8.45,8.98,9.50,10.53,11.10,16.63,22.18,33.26,
Remuera,,10.94,12.68,13.47,14.25,15.80,16.65,24.94,33.27,49.89
Remuera East,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Royal Oak,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
St Heliers,,21.12,25.35,26.94,28.50,31.59,33.30,,66.51,99.81
Takanini,,35.20,42.25,44.90,47.50,52.65,55.50,,110.85,
Takapuna,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Titirangi,,28.16,33.80,35.92,38.00,42.12,44.40,,88.68,133.08
Wai O Taiki Bay,,14.08,16.90,17.96,19.00,21.06,22.20,44.34,66.54,88.70
Wiri,,28.16,33.80,35.92,38.00,42.12,44.40,,88.68,133.08
,,,,,,,,,,
EXTRA CHARGES,,,,,,,,,,
,,,,,,,,,,
Charge,Details,3hr,2hr,90min,75min,1hr+,,,,
Extra Items,$40.14 per additional item,,,,,,,,,
Weight (30-50kg),Additional charge per speed,8.03,8.53,9.03,10.00,10.54,,,,
Weight (50kg+),Per 25kg or part thereof over 50kg,8.03,8.53,9.03,10.00,10.54,,,,
After Hours (evening),Outside 7am-7pm Mon-Fri,42.00,42.00,42.00,42.00,42.00,,,,
After Hours (overnight),Midnight-5am,63.00,63.00,63.00,63.00,63.00,,,,
After Hours (Saturday),8am-1pm Saturday,10.00,10.00,10.00,10.00,10.00,,,,
,,,,,,,,,,
SCHEDULED SERVICES (example),,,,,,,,,,
,,,,,,,,,,
Route,Service,Schedule,Base Rate,Est with MFV,,,,,,
Parnell → Wellington CBD,Next Day Afternoon,"Mon-Fri, daily",45.00,48.15,,,,,,
Parnell → Wellington CBD,Next Day Morning,"Mon-Fri, daily",55.00,58.85,,,,,,
Parnell → Hamilton CBD,"Same Day, 4 Hour","Mon, Wed, Fri",38.50,41.20,,,,,,
Parnell → Christchurch CBD,Next Day Afternoon,"Tue, Thu",68.00,72.76,,,,,,
Parnell → Tauranga,Next Day Morning,"Mon-Fri, daily",42.00,44.94,,,,,,
